Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
70,20,7,162,5,Some Random Commen with Id 70
71,20,7,73,4,Some Random Commen with Id 71
72,20,7,59,7,Some Random Commen with Id 72
73,20,7,161,3,Some Random Commen with Id 73
74,20,7,194,5,Some Random Commen with Id 74
75,20,7,94,2,Some Random Commen with Id 75
76,21,0,188,5,Some Random Commen with Id 76
77,21,0,14,2,Some Random Commen with Id 77
78,21,0,38,9,Some Random Commen with Id 78
79,21,0,93,9,Some Random Commen with Id 79
80,21,0,180,5,Some Random Commen with Id 80
81,21,0,85,4,Some Random Commen with Id 81
82,21,0,25,0,Some Random Commen with Id 82
83,21,0,115,9,Some Random Commen with Id 83
84,22,5,9,6,Some Random Commen with Id 84
85,22,5,82,4,Some Random Commen with Id 85
86,22,5,183,1,Some Random Commen with Id 86
87,22,5,126,6,Some Random Commen with Id 87
88,22,5,88,3,Some Random Commen with Id 88
89,22,5,109,1,Some Random Commen with Id 89
90,22,5,8,4,Some Random Commen with Id 90
91,22,5,169,8,Some Random Commen with Id 91
92,22,5,31,5,Some Random Commen with Id 92
93,24,2,21,5,Some Random Commen with Id 93
94,24,2,199,7,Some Random Commen with Id 94
95,24,2,82,9,Some Random Commen with Id 95
96,24,2,91,4,Some Random Commen with Id 96
97,24,2,32,6,Some Random Commen with Id 97
98,24,2,19,1,Some Random Commen with Id 98
99,24,2,87,9,Some Random Commen with Id 99
100,24,2,91,9,Some Random Commen with Id 100
101,24,2,137,9,Some Random Commen with Id 101
102,25,5,86,4,Some Random Commen with Id 102
103,25,5,153,1,Some Random Commen with Id 103
104,25,5,74,8,Some Random Commen with Id 104
105,25,5,157,3,Some Random Commen with Id 105
106,26,1,74,2,Some Random Commen with Id 106
107,26,1,160,6,Some Random Commen with Id 107
108,29,9,7,1,Some Random Commen with Id 108
109,30,8,12,0,Some Random Commen with Id 109
110,30,8,188,6,Some Random Commen with Id 110
111,30,8,199,8,Some Random Commen with Id 111
112,30,8,198,7,Some Random Commen with Id 112
113,30,8,52,3,Some Random Commen with Id 113
114,30,8,100,6,Some Random Commen with Id 114
115,31,2,164,3,Some Random Commen with Id 115
116,31,2,147,4,Some Random Commen with Id 116
117,31,2,17,2,Some Random Commen with Id 117
118,31,2,71,8,Some Random Commen with Id 118
119,31,2,85,3,Some Random Commen with Id 119
120,31,2,139,6,Some Random Commen with Id 120
121,31,2,31,1,Some Random Commen with Id 121
122,31,2,128,4,Some Random Commen with Id 122
123,32,6,119,2,Some Random Commen with Id 123
124,32,6,5,5,Some Random Commen with Id 124
125,33,1,101,4,Some Random Commen with Id 125
126,33,1,195,7,Some Random Commen with Id 126
127,34,0,97,0,Some Random Commen with Id 127
128,34,0,7,9,Some Random Commen with Id 128
129,34,0,103,5,Some Random Commen with Id 129
130,35,1,120,1,Some Random Commen with Id 130
131,35,1,128,4,Some Random Commen with Id 131
132,35,1,171,6,Some Random Commen with Id 132
133,35,1,107,0,Some Random Commen with Id 133
134,36,5,181,4,Some Random Commen with Id 134
135,36,5,114,9,Some Random Commen with Id 135
136,36,5,84,8,Some Random Commen with Id 136
137,36,5,94,1,Some Random Commen with Id 137
138,37,1,185,0,Some Random Commen with Id 138
139,37,1,185,2,Some Random Commen with Id 139
140,37,1,135,5,Some Random Commen with Id 140
141,37,1,130,4,Some Random Commen with Id 141
142,37,1,94,8,Some Random Commen with Id 142
143,37,1,68,0,Some Random Commen with Id 143
144,38,0,193,1,Some Random Commen with Id 144
145,38,0,75,3,Some Random Commen with Id 145
146,38,0,50,4,Some Random Commen with Id 146
147,39,4,152,4,Some Random Commen with Id 147
148,39,4,18,6,Some Random Commen with Id 148
149,39,4,132,1,Some Random Commen with Id 149
